SOVEREIGN\.dl_VFCOMP17_FTPQA$_M,S-1-5-21-3166226526-4153858106-3045577075-21795,AIA\ZAI_G_.dl_vfcomp17_FTPQA$_M,S-1-5-21-2178755803-1474353881-1733608052-507990
SOVEREIGN\.dl_ControlM_ModifyAccess_Users,S-1-5-21-3166226526-4153858106-3045577075-21840,AIA\ZAI_G_.dl_ControlM_ModifyAccess_Users,S-1-5-21-2178755803-1474353881-1733608052-510409
